,Type,City,Address,Area,Price,Bathrooms,Bedrooms,Listig Time,link
12,Flat,Lahore,"Askari 11 - Sector B Apartments, Askari 11, Askari, Lahore, Punjab",10 Marla,2.85 Crore,4 Baths,3 Beds,3 hours ago,https://www.zameen.com//Property/askari_11_askari_11_-_sector_b_apartments_spacious_3-bed_apartment_ground_floor_for_sale_in_the_heart_of_dha_prime_location-52731884-15703-1.html
13,Flat,Lahore,"Bahria Town - Sector D, Bahria Town, Lahore, Punjab",3.2 Marla,70 Lakh,1 Bath,1 Bed,10 hours ago,https://www.zameen.com//Property/bahria_town_bahria_town_-_sector_d_one_bed_710_sqf_sami_furnished_apartment_for_sale-53076510-1796-1.html
14,Flat,Lahore,"Defence Raya, DHA Defence, Lahore, Punjab",7.4 Marla,7.3 Crore,2 Baths,2 Beds,12 hours ago,https://www.zameen.com//Property/dha_defence_defence_raya_to_sale_you_can_find_spacious_flat_in_defence_raya-52446669-8172-1.html
15,Flat,Lahore,"Defence Raya, DHA Defence, Lahore, Punjab",7.4 Marla,5.5 Crore,2 Baths,2 Beds,12 hours ago,https://www.zameen.com//Property/dha_defence_defence_raya_ideal_flat_is_available_for_sale_in_lahore-52447754-8172-1.html
16,Flat,Lahore,"Shah Jamal, Lahore, Punjab",2.3 Marla,1.18 Crore,1 Bath,1 Bed,12 hours ago,https://www.zameen.com//Property/lahore_shah_jamal_one_bedroom_full_furnished_apartment_for_sale_in_shah_jamal_on_easy_monthly_instalments-51589200-1491-1.html
17,Flat,Lahore,"Askari 11 - Sector D, Askari 11, Askari, Lahore, Punjab",10 Marla,3.85 Crore,4 Baths,3 Beds,3 hours ago,https://www.zameen.com//Property/askari_11_askari_11_-_sector_d_spacious_3-bed_apartment_with_breathtaking_views_comfort_class_convenience-52716022-21437-1.html
18,Flat,Lahore,"Defence Raya, DHA Defence, Lahore, Punjab",12.5 Marla,11.22 Crore,3 Baths,3 Beds,8 hours ago,https://www.zameen.com//Property/dha_defence_defence_raya_raya_apartment_the_largest_luxury_unit_in_the_building-53109418-8172-1.html
19,Flat,Lahore,"Bahria Orchard Phase 4, Bahria Orchard, Lahore, Punjab",5 Marla,65 Lakh,2 Baths,2 Beds,8 hours ago,https://www.zameen.com//Property/bahria_orchard_bahria_orchard_phase_4_5_marla_townhouse_ground_floor_apartments_for_sell_in_bahira_orchid_phase_4-52962050-11201-1.html
20,Flat,Lahore,"Bahria Orchard Phase 4 - Block G5, Bahria Orchard Phase 4, Bahria Orchard, Lahore, Punjab",4 Marla,48 Lakh,2 Baths,2 Beds,8 hours ago,https://www.zameen.com//Property/bahria_orchard_phase_4_bahria_orchard_phase_4_-_block_g5_cheapest_2_bed_apartments_at_bahria_orchard-53076026-15717-1.html
21,Flat,Lahore,"Askari 10 - Sector S, Askari 10, Askari, Lahore, Punjab",10.4 Marla,4 Crore,3 Baths,3 Beds,9 hours ago,https://www.zameen.com//Property/askari_10_askari_10_-_sector_s_a_2350_square_feet_flat_located_in_askari_10_-_sector_s_is_available_for_sale-53097735-21434-1.html
22,Flat,Lahore,"Bahria Town - Sector E, Bahria Town, Lahore, Punjab",1.6 Marla,58 Lakh,1 Bath,-,9 hours ago,https://www.zameen.com//Property/bahria_town_bahria_town_-_sector_e_studio_apartment_for_sale_in_sector_e_bahria_town_lahore-52124489-1802-1.html
23,Flat,Lahore,"Bahria Town - Iqbal Block, Bahria Town - Sector E, Bahria Town, Lahore, Punjab",2.2 Marla,65 Lakh,1 Bath,1 Bed,9 hours ago,https://www.zameen.com//Property/bahria_town_sector_e_bahria_town_-_iqbal_block_one_bed_ready_apartment_on_instalment_plan_in_bahria_most_prime_location-52123669-1805-1.html
24,Flat,Lahore,"Bahria Town - Sector E, Bahria Town, Lahore, Punjab",2.2 Marla,81 Lakh,1 Bath,1 Bed,9 hours ago,https://www.zameen.com//Property/bahria_town_bahria_town_-_sector_e_stylish_apartment_for_sale_on_36_month_installment_plan_at_bahria_town_s_most_prime_location_with_sa_wimming_pool-52123383-1802-1.html
25,Flat,Lahore,"Askari 10 - Sector S, Askari 10, Askari, Lahore, Punjab",12 Marla,5 Crore,5 Baths,4 Beds,1 day ago,https://www.zameen.com//Property/askari_10_askari_10_-_sector_s_askari_10_-_sector_s_flat_sized_12_marla-53009545-21434-1.html
26,Flat,Lahore,"Askari 10 - Sector S, Askari 10, Askari, Lahore, Punjab",12 Marla,4.5 Crore,5 Baths,4 Beds,1 day ago,https://www.zameen.com//Property/askari_10_askari_10_-_sector_s_ideal_flat_in_lahore_available_for_rs_45000000-53009543-21434-1.html
27,Flat,Lahore,"Askari 10, Askari, Lahore, Punjab",12 Marla,4.45 Crore,5 Baths,4 Beds,1 day ago,https://www.zameen.com//Property/askari_askari_10_reasonably-priced_12_marla_flat_in_askari_10_-_sector_s_lahore_is_available_as_of_now-53063684-1011-1.html
28,Flat,Lahore,"Askari 10 - Sector S, Askari 10, Askari, Lahore, Punjab",12 Marla,4.5 Crore,5 Baths,4 Beds,1 day ago,https://www.zameen.com//Property/askari_10_askari_10_-_sector_s_ideal_flat_in_lahore_available_for_rs_45000000-53063688-21434-1.html
29,Flat,Lahore,"Askari 10 - Sector S, Askari 10, Askari, Lahore, Punjab",12.2 Marla,4.5 Crore,5 Baths,4 Beds,1 day ago,https://www.zameen.com//Property/askari_10_askari_10_-_sector_s_brand_new_4-bedroom_apartment_at_a_very_prime_location_and_design-53063695-21434-1.html
