,Type,City,Address,Area,Price,Bathrooms,Bedrooms,Listig Time,link
50,Flat,Lahore,"Askari 10 - Sector S, Askari 10, Askari, Lahore, Punjab",12 Marla,4.35 Crore,5 Baths,4 Beds,1 day ago,https://www.zameen.com//Property/askari_10_askari_10_-_sector_s_12_marla_flat_in_askari_of_lahore_is_available_for_sale-53110250-21434-1.html
51,Flat,Lahore,"Askari 10 - Sector S, Askari 10, Askari, Lahore, Punjab",12 Marla,4.3 Crore,5 Baths,4 Beds,1 day ago,https://www.zameen.com//Property/askari_10_askari_10_-_sector_s_spacious_flat_is_available_for_sale_in_ideal_location_of_askari_10_-_sector_s-53083997-21434-1.html
52,Flat,Lahore,"Askari 10 - Sector S, Askari 10, Askari, Lahore, Punjab",12 Marla,4.4 Crore,5 Baths,4 Beds,1 day ago,https://www.zameen.com//Property/askari_10_askari_10_-_sector_s_askari_10_-_sector_s_flat_sized_12_marla_is_available-53110252-21434-1.html
53,Flat,Lahore,"Askari 10 - Sector S, Askari 10, Askari, Lahore, Punjab",12 Marla,4.35 Crore,5 Baths,4 Beds,1 day ago,https://www.zameen.com//Property/askari_10_askari_10_-_sector_s_this_is_your_chance_to_buy_flat_in_askari_10_-_sector_s-53070995-21434-1.html
54,Flat,Lahore,"Askari 10 - Sector S, Askari 10, Askari, Lahore, Punjab",12 Marla,4.35 Crore,4 Baths,4 Beds,2 days ago,https://www.zameen.com//Property/askari_10_askari_10_-_sector_s_12_marla_4_bedroom_apartment_available_for_sale_in_askari_10_sector_s_lahore_cantt-53120135-21434-1.html
55,Flat,Lahore,"Defence View Apartments, Shanghai Road, Lahore, Punjab",1.5 Marla,60 Lakh,1 Bath,1 Bed,1 day ago,https://www.zameen.com//Property/shanghai_road_defence_view_apartments_1-bed_studio_apartment_for_sale_in_defence_view_apartments_dha_phase_4_rental_income_50k-53111283-12643-1.html
56,Flat,Lahore,"Icon Valley Phase 1, Raiwind Road, Lahore, Punjab",5 Marla,70 Lakh,2 Baths,2 Beds,1 day ago,https://www.zameen.com//Property/raiwind_road_icon_valley_phase_1_luxurious_ground_floor_flat_for_sale_at_best_price-53120934-8469-1.html
57,Flat,Lahore,"Bahria Town - Sector E, Bahria Town, Lahore, Punjab",2.4 Marla,44 Lakh,1 Bath,1 Bed,1 day ago,https://www.zameen.com//Property/bahria_town_bahria_town_-_sector_e_1_bed_brand_new_ready_to_move_fully_furnished_luxury_apartment_for_sale_sector_e_bahria_town_lahore-53034349-1802-1.html
58,Flat,Lahore,"Askari 11, Askari, Lahore, Punjab",10 Marla,3.25 Crore,3 Baths,3 Beds,1 day ago,https://www.zameen.com//Property/askari_askari_11_newly_constructed_beautiful_3-bedrooms_flat_for_sale_in_askari-11_lahore-53120351-1503-1.html
59,Flat,Lahore,"Askari 11, Askari, Lahore, Punjab",10 Marla,3.7 Crore,3 Baths,3 Beds,2 days ago,https://www.zameen.com//Property/askari_askari_11_brand_new_ground_floor_3-bedrooms_flat_for_sale_in_askari-11_lahore-52501993-1503-1.html
60,Flat,Lahore,"Askari 11 - Sector D, Askari 11, Askari, Lahore, Punjab",10 Marla,3.65 Crore,4 Baths,3 Beds,12 hours ago,https://www.zameen.com//Property/askari_11_askari_11_-_sector_d_10_marla_3_bedrooms_apartment_available_for_sale-53085864-21437-1.html
61,Flat,Lahore,"Askari 11, Askari, Lahore, Punjab",10 Marla,3.65 Crore,3 Baths,3 Beds,13 hours ago,https://www.zameen.com//Property/askari_askari_11_10_marla_3_bedroom_apartment_available_for_sale-52745903-1503-1.html
62,Flat,Lahore,"Askari 10 - Sector S, Askari 10, Askari, Lahore, Punjab",12 Marla,4.45 Crore,5 Baths,4 Beds,22 hours ago,https://www.zameen.com//Property/askari_10_askari_10_-_sector_s_12_marla_4_bedroom_brand_new_apartment_available_for_sale-52600561-21434-1.html
63,Flat,Lahore,"Penta Square By DHA Lahore, DHA Phase 5, DHA Defence, Lahore, Punjab",3.5 Marla,2.72 Crore,2 Baths,1 Bed,23 hours ago,https://www.zameen.com//Property/dha_phase_5_penta_square_by_dha_lahore_one_bedroom_brand_new_apartment_for_sale_in_penta_square_dha_phase_5-52697499-11845-1.html
64,Flat,Lahore,"Bahria Town - Sector C, Bahria Town, Lahore, Punjab",2 Marla,75 Lakh,1 Bath,1 Bed,1 day ago,https://www.zameen.com//Property/bahria_town_bahria_town_-_sector_c_1_bed_brand_new_luxury_non_furnished_flat_apartment_available_in_bahria_town_lahore-53025168-1784-1.html
65,Flat,Lahore,"The Spring Apartment Homes, Main Canal Bank Road, Lahore, Punjab",3.5 Marla,95 Lakh,1 Bath,1 Bed,1 day ago,https://www.zameen.com//Property/main_canal_bank_road_the_spring_apartment_homes_spring_apartment_canal_road_for_sale-50567751-10099-1.html
66,Flat,Lahore,"Askari 11, Askari, Lahore, Punjab",12 Marla,3 Crore,5 Baths,4 Beds,1 day ago,https://www.zameen.com//Property/askari_askari_11_ready_to_buy_good_location_12_marla_flat_on_7th_floor_in_askari_11_-_sector_b_lahore-52483066-1503-1.html
67,Flat,Lahore,"Shah Jamal, Lahore, Punjab",1.2 Marla,63 Lakh,1 Bath,-,12 hours ago,https://www.zameen.com//Property/lahore_shah_jamal_full_furnished_one_bedroom_studio_apartment_for_sale_in_shah_jamal_on_easy_monthly_instalments-51759938-1491-1.html
68,Flat,Lahore,"Zameen Opal, Land Breeze Housing Society, Lahore, Punjab",5.5 Marla,2.75 Crore,3 Baths,3 Beds,12 hours ago,https://www.zameen.com//Property/land_breeze_housing_society_zameen_opal_3_bedroom_brand_new_apartment_is_available_for_sale_on_main_raiwind_road-50590124-12916-1.html
69,Flat,Lahore,"Shah Jamal, Lahore, Punjab",2.3 Marla,1.18 Crore,1 Bath,1 Bed,12 hours ago,https://www.zameen.com//Property/lahore_shah_jamal_one_bedroom_full_furnished_apartment_for_sale_in_shah_jamal_on_easy_monthly_instalments-51589185-1491-1.html
70,Flat,Lahore,"Shah Jamal, Lahore, Punjab",1.2 Marla,63 Lakh,1 Bath,-,12 hours ago,https://www.zameen.com//Property/lahore_shah_jamal_full_furnished_one_bedroom_studio_apartment_for_sale_in_shah_jamal_on_easy_monthly_instalments-51589232-1491-1.html
71,Flat,Lahore,"Shah Jamal, Lahore, Punjab",1.3 Marla,66.44 Lakh,1 Bath,1 Bed,12 hours ago,https://www.zameen.com//Property/lahore_shah_jamal_full_furnished_one_bedroom_studio_apartment_for_sale_in_shah_jamal_on_easy_monthly_instalments-51589233-1491-1.html
72,Flat,Lahore,"Etihad Town, Raiwind Road, Lahore, Punjab",4.4 Marla,1.14 Crore,2 Baths,2 Beds,12 hours ago,https://www.zameen.com//Property/raiwind_road_etihad_town_2_bedroom_townhouse_is_available_for_sale_in_etihad_town_phase_1_on_easy_instalments-52316840-11895-1.html
73,Flat,Lahore,"Sheranwala Heights, Main Canal Bank Road, Lahore, Punjab",4.2 Marla,1.05 Crore,2 Baths,2 Beds,12 hours ago,https://www.zameen.com//Property/main_canal_bank_road_sheranwala_heights_950_sq_ft_2-bed_apartment_in_sheranwala_heights_investor_rate-53040382-9281-1.html
74,Flat,Lahore,"Bahria Orchard Phase 4, Bahria Orchard, Lahore, Punjab",2.4 Marla,35.23 Lakh,1 Bath,1 Bed,12 hours ago,https://www.zameen.com//Property/bahria_orchard_bahria_orchard_phase_4_542_sq_ft_one-bed_apartment_get_possession_with_just_50_payment-53044447-11201-1.html
75,Flat,Lahore,"Askari 11 - Sector B, Askari 11, Askari, Lahore, Punjab",10 Marla,2.95 Crore,4 Baths,3 Beds,2 days ago,https://www.zameen.com//Property/askari_11_askari_11_-_sector_b_10_marla_luxurious_apartment_for_sale_in_askari_11_sector_b_near_dha_lahore-53094212-15702-1.html
76,Flat,Lahore,"Bahria Town - Sector E, Bahria Town, Lahore, Punjab",3.3 Marla,1.2 Crore,2 Baths,2 Beds,2 days ago,https://www.zameen.com//Property/bahria_town_bahria_town_-_sector_e_2_beds_apartment_possession_at_50_down_payment_for_sale_in_sector_e_bahria_town_lahore-50795476-1802-1.html
77,Flat,Lahore,"Askari 10 - Sector F, Askari 10, Askari, Lahore, Punjab",15 Marla,5.4 Crore,5 Baths,4 Beds,2 days ago,https://www.zameen.com//Property/askari_10_askari_10_-_sector_f_luxury_15_marla_fully_renovated_apartment_for_sale_askari_10_lahore-53070349-10542-1.html
78,Flat,Lahore,"Askari 11, Askari, Lahore, Punjab",10 Marla,3.15 Crore,3 Baths,3 Beds,3 days ago,https://www.zameen.com//Property/askari_askari_11_find_your_ideal_flat_in_lahore_under_rs_31500000-53115503-1503-1.html
79,Flat,Lahore,"Askari 11, Askari, Lahore, Punjab",10 Marla,2.55 Crore,3 Baths,3 Beds,3 days ago,https://www.zameen.com//Property/askari_askari_11_looking_for_a_flat_in_askari_11-53115506-1503-1.html
80,Flat,Lahore,"Askari 10 - Sector S, Askari 10, Askari, Lahore, Punjab",13 Marla,4.35 Crore,5 Baths,4 Beds,2 days ago,https://www.zameen.com//Property/askari_10_askari_10_-_sector_s_ring_road_view_owner_needy-52791190-21434-1.html
81,Flat,Lahore,"Bahria Town - Nishtar Block, Bahria Town - Sector E, Bahria Town, Lahore, Punjab",1.8 Marla,71 Lakh,1 Bath,-,2 days ago,https://www.zameen.com//Property/bahria_town_sector_e_bahria_town_-_nishtar_block_luxury_furnished_studio_available_for_sale-53060555-1806-1.html
82,Flat,Lahore,"Gulberg, Lahore, Punjab",2.7 Marla,1.3 Crore,1 Bath,1 Bed,2 days ago,https://www.zameen.com//Property/lahore_gulberg_elegant_1-bed_in_gulberg_premium_amenities_investment_potential-52647926-7-1.html
83,Flat,Lahore,"Raiwind Road, Lahore, Punjab",5 Marla,90 Lakh,2 Baths,2 Beds,2 days ago,https://www.zameen.com//Property/lahore_raiwind_road_2_bed_town_house_early_possession-52842598-128-1.html
84,Flat,Lahore,"MM Alam Road, Gulberg, Lahore, Punjab",0.9 Marla,1 Crore,1 Bath,1 Bed,2 days ago,https://www.zameen.com//Property/gulberg_mm_alam_road_hotel_apartment_for_sale_mm_alam_road_lahore-52901242-3850-1.html
85,Flat,Lahore,"Bahria Town - Iqbal Block, Bahria Town - Sector E, Bahria Town, Lahore, Punjab",2.3 Marla,45 Lakh,1 Bath,1 Bed,13 hours ago,https://www.zameen.com//Property/bahria_town_sector_e_bahria_town_-_iqbal_block_ready_2_move_one_bed_apartment_for_sale_in_bahira_town_lahore-52123233-1805-1.html
86,Flat,Lahore,"Bahria Town - Sector E, Bahria Town, Lahore, Punjab",1.9 Marla,55 Lakh,1 Bath,1 Bed,14 hours ago,https://www.zameen.com//Property/bahria_town_bahria_town_-_sector_e_apartment_available_for_sale-53123170-1802-1.html
87,Flat,Lahore,"Askari 11, Askari, Lahore, Punjab",12 Marla,3.48 Crore,5 Baths,4 Beds,1 day ago,https://www.zameen.com//Property/askari_askari_11_spacious_12_marla_4-bed_flat_with_open_view_for_sale_on_ground_floor_askari_11_lahore-52422363-1503-1.html
88,Flat,Lahore,"Valencia Housing Society, Lahore, Punjab",5 Marla,90 Lakh,2 Baths,2 Beds,1 day ago,https://www.zameen.com//Property/lahore_valencia_housing_society_abrar_estate_offers_5_marla_flat_for_sale_in_valencia_housing_society-52812989-373-1.html
89,Flat,Lahore,"Bahria Town - Sector D, Bahria Town, Lahore, Punjab",2.2 Marla,80 Lakh,1 Bath,1 Bed,1 day ago,https://www.zameen.com//Property/bahria_town_bahria_town_-_sector_d_furnished_one_bed_luxury_apartment_for_sale_in_sector_d_bahria_town_lahore-53121448-1796-1.html
90,Flat,Lahore,"Bahria Town - Sector E, Bahria Town, Lahore, Punjab",2.2 Marla,75 Lakh,1 Bath,1 Bed,1 day ago,https://www.zameen.com//Property/bahria_town_bahria_town_-_sector_e_one_bed_luxury_furnished_apartment_for_sale_in_sector_e_bahria_town_lahore-53121416-1802-1.html
91,Flat,Lahore,"Golf View Residencia - Phase 1, Golf View Residencia, Bahria Town, Lahore, Punjab",2 Marla,37.5 Lakh,1 Bath,1 Bed,1 day ago,https://www.zameen.com//Property/golf_view_residencia_golf_view_residencia_-_phase_1_book_luxury_one_bed_serviced_apartment_from_just_10_in_icon_mall_biggest_mall_of_lahore-52849817-13640-1.html
92,Flat,Lahore,"Bahria Town - Sector E, Bahria Town, Lahore, Punjab",1.6 Marla,48 Lakh,1 Bath,-,13 hours ago,https://www.zameen.com//Property/bahria_town_bahria_town_-_sector_e_studio_apartment_in_grand_14_the_oasis_facing_eiffel_tower_prime_location_with_theme_park_views-52159747-1802-1.html
93,Flat,Lahore,"Bahria Town - Sector E, Bahria Town, Lahore, Punjab",2.7 Marla,80 Lakh,1 Bath,1 Bed,13 hours ago,https://www.zameen.com//Property/bahria_town_bahria_town_-_sector_e_one_bed_ready_apartment_on_instalment_plan_at_investor_rate_at_bahria_most_prime_location-52150135-1802-1.html
94,Flat,Lahore,"Bahria Town - Sector E, Bahria Town, Lahore, Punjab",1.8 Marla,72 Lakh,1 Bath,1 Bed,13 hours ago,https://www.zameen.com//Property/bahria_town_bahria_town_-_sector_e_one_bed_furnished_apartment_for_sale_at_pirme_location_of_bahria_town_lahore-52159753-1802-1.html
95,Flat,Lahore,"Bahria Town - Sector E, Bahria Town, Lahore, Punjab",1.8 Marla,72 Lakh,1 Bath,1 Bed,13 hours ago,https://www.zameen.com//Property/bahria_town_bahria_town_-_sector_e_1_bed_fully_furnished_apartment_on_3_years_easy_instalment_plan_for_sale_in_bahair_town_lahore-52173741-1802-1.html
96,Flat,Lahore,"Bahria Town - Sector E, Bahria Town, Lahore, Punjab",2.7 Marla,80 Lakh,1 Bath,-,13 hours ago,https://www.zameen.com//Property/bahria_town_bahria_town_-_sector_e_ready_to_move_1_bed_room_apartment_for_sale_in_lda_approved_sector_e_bahria_town_lahore-52173744-1802-1.html
97,Flat,Lahore,"Bahria Town - Sector E, Bahria Town, Lahore, Punjab",1.6 Marla,58 Lakh,1 Bath,-,13 hours ago,https://www.zameen.com//Property/bahria_town_bahria_town_-_sector_e_book_luxury_apartment_in_just_11lac_on_2_5_year_installment_plan_in_sector_e_bahria_town_lahore-52173780-1802-1.html
98,Flat,Lahore,"Bahria Town - Sector E, Bahria Town, Lahore, Punjab",4 Marla,1.3 Crore,2 Baths,2 Beds,13 hours ago,https://www.zameen.com//Property/bahria_town_bahria_town_-_sector_e_2_bed_ready_to_move_apartment_for_sale_on_instalment_plan_in_bahria_town_most_prime_location-52173746-1802-1.html
99,Flat,Lahore,"PHA Apartments Hassanabad, Raiwind Road, Lahore, Punjab",3.8 Marla,85 Lakh,2 Baths,2 Beds,13 hours ago,https://www.zameen.com//Property/raiwind_road_pha_apartments_hassanabad_2_bed_apartment_available_for_sale_in_pha_lahore-53113178-20961-1.html
